uhf_code,borough,neighborhood,zip_code
204,Brooklyn,East New York,11208
208,Brooklyn,Canarsie - Flatlands,11236
203,Brooklyn,Bedford Stuyvesant - Crown Heights,11212
301,Manhattan,Washington Heights - Inwood,10031
406,Queens,Fresh Meadows,11366
211,Brooklyn,Williamsburg - Bushwick,11206
301,Manhattan,Washington Heights - Inwood,10033
102,Bronx,Northeast Bronx,10470
304,Manhattan,Upper West Side,10025
401,Queens,Long Island City - Astoria,11103
401,Queens,Long Island City - Astoria,11106
207,Brooklyn,East Flatbush - Flatbush,11225
404,Queens,Bayside - Little Neck,11364
307,Manhattan,Gramercy Park - Murray Hill,10022
408,Queens,Jamaica,11433
104,Bronx,Pelham - Throgs Neck,10472
104,Bronx,Pelham - Throgs Neck,10461
104,Bronx,Pelham - Throgs Neck,10473
205,Brooklyn,Sunset Park,11220
401,Queens,Long Island City - Astoria,11104
305,Manhattan,Upper East Side,10044
401,Queens,Long Island City - Astoria,11102
310,Manhattan,Lower Manhattan,10006
409,Queens,Southeast Queens,11005
409,Queens,Southeast Queens,11428
410,Queens,Rockaway,11695
310,Manhattan,Lower Manhattan,10280
502,Staten Island,Stapleton - St. George,10305
210,Brooklyn,Coney Island - Sheepshead Bay,11235
302,Manhattan,Central Harlem - Morningside Heights,10039
304,Manhattan,Upper West Side,10024
403,Queens,Flushing - Clearview,11357
407,Queens,Southwest Queens,11415
308,Manhattan,Greenwich Village - SoHo,10013
309,Manhattan,Union Square - Lower East Side,10009
410,Queens,Rockaway,11693
101,Bronx,Kingsbridge - Riverdale,10471
101,Bronx,Kingsbridge - Riverdale,10463
103,Bronx,Fordham - Bronx Park,10468
203,Brooklyn,Bedford Stuyvesant - Crown Heights,11233
305,Manhattan,Upper East Side,10021
502,Staten Island,Stapleton - St. George,10301
502,Staten Island,Stapleton - St. George,10304
302,Manhattan,Central Harlem - Morningside Heights,10027
202,Brooklyn,Downtown - Heights - Park Slope,11215
401,Queens,Long Island City - Astoria,11105
402,Queens,West Queens,11372
209,Brooklyn,Bensonhurst - Bay Ridge,11209
402,Queens,West Queens,11368
207,Brooklyn,East Flatbush - Flatbush,11203
303,Manhattan,East Harlem,10035
201,Brooklyn,Greenpoint,11222
309,Manhattan,Union Square - Lower East Side,10003
310,Manhattan,Lower Manhattan,10038
406,Queens,Fresh Meadows,11367
503,Staten Island,Willowbrook,10314
310,Manhattan,Lower Manhattan,10007
402,Queens,West Queens,11370
107,Bronx,Hunts Point - Mott Haven,10454
201,Brooklyn,Greenpoint,11211
407,Queens,Southwest Queens,11416
501,Staten Island,Port Richmond,10310
205,Brooklyn,Sunset Park,11232
309,Manhattan,Union Square - Lower East Side,10002
409,Queens,Southeast Queens,11004
208,Brooklyn,Canarsie - Flatlands,11234
202,Brooklyn,Downtown - Heights - Park Slope,11201
301,Manhattan,Washington Heights - Inwood,10040
302,Manhattan,Central Harlem - Morningside Heights,10030
307,Manhattan,Gramercy Park - Murray Hill,10010
407,Queens,Southwest Queens,11417
301,Manhattan,Washington Heights - Inwood,10032
102,Bronx,Northeast Bronx,10475
105,Bronx,Crotona - Tremont,10453
106,Bronx,High Bridge - Morrisania,10456
302,Manhattan,Central Harlem - Morningside Heights,10037
102,Bronx,Northeast Bronx,10469
104,Bronx,Pelham - Throgs Neck,10462
206,Brooklyn,Borough Park,11204
407,Queens,Southwest Queens,11420
104,Bronx,Pelham - Throgs Neck,10464
403,Queens,Flushing - Clearview,11359
